participant_id,avg_fsa_healthy,avg_fsa_unhealthy
P001,4.0,11.0
P002,4.666666666666667,10.333333333333334
P006,5.0,10.0
P008,5.0,10.666666666666666
P009,6.333333333333333,11.333333333333334
P010,5.666666666666667,10.333333333333334
P013,5.666666666666667,12.0
P015,5.333333333333333,10.666666666666666
P016,5.333333333333333,10.333333333333334
P017,6.666666666666667,11.333333333333334
P018,5.666666666666667,10.333333333333334
P019,5.0,10.666666666666666
P020,5.0,11.0
P023,5.333333333333333,10.333333333333334
P024,4.666666666666667,11.666666666666666
P026,5.666666666666667,11.0
P032,5.0,11.333333333333334
P039,5.333333333333333,11.333333333333334
P040,5.0,11.666666666666666
P044,5.0,11.0
P045,5.0,11.333333333333334
P048,7.0,11.0
P049,6.0,10.333333333333334
P050,5.0,11.333333333333334
P051,5.666666666666667,11.0
P052,5.0,11.666666666666666
P053,5.333333333333333,11.0
P057,5.0,11.0
P059,5.666666666666667,10.666666666666666
P060,5.333333333333333,10.666666666666666
